类别,标准编号,标准名称
装备技术,TB/T46-2020,铁路车辆心盘及磨耗盘
装备技术,TB/T60-2014,机车车辆用制动软管连接器
装备技术,TB/T412-2020,标准轨距铁路道岔
装备技术,TB/T447-2020,高锰钢辙叉
装备技术,TB/T449-2016,机车车辆车轮轮缘踏面外形
装备技术,TB/T454.1-2021,铁路通信信号词汇 第1部分：铁路信号词汇
装备技术,TB/T456.1-2019,机车车辆自动车钩缓冲装置 第1部分：装车要求
装备技术,TB/T456.2-2019,机车车辆自动车钩缓冲装置 第2部分：自动车钩及附件
装备技术,TB/T456.3-2018,机车车辆自动车钩缓冲装置 第3部分：钩尾框
装备技术,TB/T1010-2016,铁道车辆轮对及轴承型式与基本尺寸
装备技术,TB/T1013-2011,碳素钢铸钢车轮
装备技术,TB/T1027.1-2015,机车车轴 第1部分：钢坯
装备技术,TB/T1027.2-2015,机车车轴 第2部分：车轴
装备技术,TB/T1122-2019,铁路信号符号
装备技术,TB/T1123-1992,铁路信号联锁图表编制原则
装备技术,TB/T1243-1982,客车门窗玻璃
装备技术,TB/T1346-2018,木枕用道钉
装备技术,TB/T1353-2020,铁路道岔和交叉名词术语
装备技术,TB/T1356-1996,铁路用卸煤机、装砂机技术条件
装备技术,TB/T1357-2007,铁路门式起重机
装备技术,TB/T1362-2017,机车车辆轮对专用量具
装备技术,TB/T1392-2015,机车车辆电磁阀
装备技术,TB/T1400.1-2016,机车用有箍车轮 第1部分：轮心
装备技术,TB/T1400.2-2018,机车用有箍车轮 第2部分：轮箍
装备技术,TB/T1407.1-2018,列车牵引计算 第1部分：机车牵引式列车
装备技术,TB/T1407.2-2024,列车牵引计算 第2部分：动车组
装备技术,TB/T1413-2016,透镜式色灯信号机构及信号表示器
装备技术,TB/T1424-1982,通信信号产品的温升
装备技术,TB/T1428-1990,铁路货场桥式、门式起重机防风制动装置技术条件
装备技术,TB/T1429-2015,机车、动车用柴油机铸铁气缸套
装备技术,TB/T1433.1-2019,铁路通信信号产品环境条件 第1部分：地面固定使用的信号产品
装备技术,TB/T1434-1999,铁路通信产品环境条件 地面固定使用
装备技术,TB/T1436-2013,内燃机车机油滤清器
装备技术,TB/T1445-1982,轨道电路参数
装备技术,TB/T1447-2015,铁路信号产品绝缘电阻
装备技术,TB/T1448-2018,铁路通信信号产品的绝缘耐压
装备技术,TB/T1451-2022,机车、动车组前窗玻璃
装备技术,TB/T1463-2015,机车轮对组装技术条件
装备技术,TB/T1465-2015,机车车辆用球墨铸铁件通用技术条件
装备技术,TB/T1484.1-2025,机车车辆电缆 第1部分：动力和控制电缆
装备技术,TB/T1484.2-2017,机车车辆电缆 第2部分：30kV单相电力电缆
装备技术,TB/T1484.3-2017,机车车辆电缆 第3部分：通信电缆
装备技术,TB/T1488-1983,铁路机车车轴排列型式表示方法
装备技术,TB/T1490-2017,机车车辆转向架 客车转向架
装备技术,TB/T1491-2015,机车车辆油压减振器
装备技术,TB/T1492-2017,铁道车辆制动机单车试验
装备技术,TB/T1495-2020,弹条I型扣件
装备技术,TB/T1497-1984,钢轨绝缘技术条件
装备技术,TB/T1508-2016,机车电气屏柜
装备技术,TB/T1528.1-2018,铁路信号电源系统设备 第1部分：通用要求
装备技术,TB/T1528.2-2018,铁路信号电源系统设备 第2部分：铁路信号电源屏试验方法
装备技术,TB/T1528.3-2018,铁路信号电源系统设备 第3部分：普速铁路信号电源屏
装备技术,TB/T1528.4-2018,铁路信号电源系统设备 第4部分：高速铁路信号电源屏
装备技术,TB/T1528.5-2018,铁路信号电源系统设备 第5部分：输入配电箱
装备技术,TB/T1528.6-2018,铁路信号电源系统设备 第6部分：不间断电源（UPS）及蓄电池组
装备技术,TB/T1552-2017,车辆减速器液压动力系统技术条件
装备技术,TB/T1555-2005,驼峰专用气动系统技术条件
装备技术,TB/T1557-1984,驼峰进路控制技术条件
装备技术,TB/T1558.1-2020,机车车辆焊缝无损检测 第1部分：总则
装备技术,TB/T1558.2-2018,机车车辆焊缝无损检测 第2部分：超声检测
装备技术,TB/T1558.3-2020,机车车辆焊缝无损检测 第3部分：射线照相检测
装备技术,TB/T1558.4-2018,机车车辆焊缝无损检测 第4部分：磁粉检测
装备技术,TB/T1558.5-2018,机车车辆焊缝无损检测 第5部分：渗透检测
装备技术,TB/T1567.1-2019,铁路闭塞 第1部分：自动闭塞技术条件
装备技术,TB/T1567.2-2019,铁路闭塞 第2部分：自动站间闭塞技术条件
装备技术,TB/T1567.3-2020,铁路闭塞 第3部分：半自动闭塞技术条件
装备技术,TB/T1608.1-2013,机车辅助电机 第1部分：异步电动机
装备技术,TB/T1618-2001,机车车辆车轴超声波检验
装备技术,TB/T1619-2010,机车车辆车轴磁粉探伤
装备技术,TB/T1632.1-2014,钢轨焊接 第1部分：通用技术条件
装备技术,TB/T1632.2-2014,钢轨焊接 第2部分：闪光焊接
装备技术,TB/T1632.3-2019,钢轨焊接 第3部分：铝热焊接
装备技术,TB/T1632.4-2014,钢轨焊接 第4部分：气压焊接
装备技术,TB/T1651-1996,牵引变电所变压器容量的计算条件和方法
装备技术,TB/T1652-1996,牵引供电系统电压损失的计算条件和方法
装备技术,TB/T1653-1996,牵引供电系统电能损失的计算条件和方法
装备技术,TB/T1669-2018,机车车辆车钩缓冲装置计量器具 13型车钩量具
装备技术,TB/T1670-2019,机车车辆车钩缓冲装置计量器具 15型车钩量具
装备技术,TB/T1674-1993,铁道客车隔热性能试验方法
装备技术,TB/T1677-1997,电气化铁道牵引供电系统术语
装备技术,TB/T1678-1997,交流电气化铁道通信防护专业术语
装备技术,TB/T1679-2025,电气化铁路牵引供电系统电气图形符号
装备技术,TB/T1700-2022,铁路手信号灯
装备技术,TB/T1704-2001,机车电机试验方法 直流电机
装备技术,TB/T1718.2-2017,机车车辆轮对组装 第2部分：车辆
装备技术,TB/T1718.3-2018,机车车辆轮对组装 第3部分：动车组
