类别,标准编号,标准名称
装备技术,TB/T1407.2-2024,列车牵引计算 第2部分：动车组
装备技术,TB/T1451-2022,机车、动车组前窗玻璃
装备技术,TB/T1528.4-2018,铁路信号电源系统设备 第4部分：高速铁路信号电源屏
装备技术,TB/T1718.3-2018,机车车辆轮对组装 第3部分：动车组
装备技术,TB/T1720-2017,铁道客车及动车组给水装置
装备技术,TB/T2433-2019,铁路客车及动车组空调装置运用试验方法
装备技术,TB/T2704-2016,铁道客车及动车组电取暖器
装备技术,TB/T2710.1-2015,机车、动车组用空气压缩机组技术条件 第1部分：活塞空气压缩机组
装备技术,TB/T2710.2-2015,机车、动车组用空气压缩机组技术条件 第2部分：螺杆空气压缩机组
装备技术,TB/T2711-2015,机车、动车组用空气压缩机组试验方法
装备技术,TB/T2760.1-2015,机车、动车组转速传感器 第1部分：光电转速传感器
装备技术,TB/T2917.1-2019,铁路客车及动车组照明 第1部分：通用要求
装备技术,TB/T2917.2-2019,铁路客车及动车组照明 第2部分：车厢用灯
装备技术,TB/T2949-2015,铁道客车及动车组用高度调整装置
装备技术,TB/T3051.2-2016,机车、动车组用电笛、风笛 第2部分：风笛
装备技术,TB/T3237-2010,动车组用内装材料阻燃技术条件
装备技术,TB/T3250-2010,动车组密封设计及试验规范
装备技术,TB/T3259-2011,动车组用铝及铝合金焊接技术条件
装备技术,TB/T3260.1-2011,动车组用铝及铝合金 第1部分：基本要求
装备技术,TB/T3260.2-2011,动车组用铝及铝合金 第2部分：板材和带材
装备技术,TB/T3260.3-2011,动车组用铝及铝合金 第3部分：棒材和管材
装备技术,TB/T3260.4-2011,动车组用铝及铝合金 第4部分：型材
装备技术,TB/T3263.1-2023,动车组座椅 第1部分：一等座椅和二等座椅
装备技术,TB/T3284-2019,动车组牵引拉杆
装备技术,TB/T3285-2019,动车组抗侧滚扭杆
装备技术,TB/T3297-2013,高速铁路岔区轨枕埋入式无砟轨道混凝土岔枕
装备技术,TB/T3301-2013,高速铁路道岔技术条件
